state_code,ds_name,as_name,block_name
TL,Adilabad,Adilabad (Gen), Adilabad Rural
TL,Adilabad,Adilabad (Gen), Jainad
TL,Adilabad,Adilabad (Gen), Bela
TL,Adilabad,Adilabad (Gen), Mavala
TL,Adilabad,Boath (ST), Boath
TL,Adilabad,Boath (ST), Tamsi
TL,Adilabad,Boath (ST), Talamadugu
TL,Adilabad,Boath (ST), Ichoda
TL,Adilabad,Boath (ST), Bazarhatnoor
TL,Adilabad,Boath (ST), Neradigonda
TL,Adilabad,Boath (ST), Gudihathnur
TL,Adilabad,Boath (ST), Bhimpur
TL,Bhadradri Kothagudem,Pinapaka (ST), Pinapaka
TL,Bhadradri Kothagudem,Pinapaka (ST), Manuguru
TL,Bhadradri Kothagudem,Pinapaka (ST), Gundala
TL,Bhadradri Kothagudem,Pinapaka (ST), Burgampahad
TL,Bhadradri Kothagudem,Pinapaka (ST), Aswapuram
TL,Bhadradri Kothagudem,Pinapaka (ST), Allapalli
TL,Bhadradri Kothagudem,Yellandu (ST), Yellandu
TL,Bhadradri Kothagudem,Yellandu (ST), Kamepalli
TL,Bhadradri Kothagudem,Yellandu (ST), Bayyaram
TL,Bhadradri Kothagudem,Yellandu (ST), Tekulapalli
TL,Bhadradri Kothagudem,Yellandu (ST), Garla
TL,Bhadradri Kothagudem,Bhadrachalam (ST), Bhadrachalam (Rural)
TL,Bhadradri Kothagudem,Bhadrachalam (ST), Wazedu
TL,Bhadradri Kothagudem,Bhadrachalam (ST), Cherla
TL,Bhadradri Kothagudem,Bhadrachalam (ST), Dummugudem
TL,Bhadradri Kothagudem,Bhadrachalam (ST), Venkatapuram
TL,Bhadradri Kothagudem,Kothagudem (Gen), Palwancha - (Rural)
TL,Bhadradri Kothagudem,Kothagudem (Gen), Sujathanagar
TL,Bhadradri Kothagudem,Kothagudem (Gen), Chunchupally
TL,Bhadradri Kothagudem,Kothagudem (Gen), Laxmidevipalli
TL,Bhadradri Kothagudem,Kothagudem (Gen), Julurpadu
TL,Bhadradri Kothagudem,Kothagudem (Gen), Kothagudem
TL,Bhadradri Kothagudem,Aswaraopet (ST), Aswaraopeta
TL,Bhadradri Kothagudem,Aswaraopet (ST), Chandrugonda
TL,Bhadradri Kothagudem,Aswaraopet (ST), Dammapeta
TL,Bhadradri Kothagudem,Aswaraopet (ST), Mulakalapally
TL,Bhadradri Kothagudem,Aswaraopet (ST), Annapureddypalli
TL,Hyderabad,Charminar (Gen), Charminar
TL,Hyderabad,Chandrayangutta (Gen), Bandlaguda
TL,Hyderabad,Yakutpura (Gen),Yakutpura
TL,Hyderabad,Bahdurpura (Gen), Bahadurpura
TL,Jagtial,Dharmapuri (SC), Dharmapuri
TL,Jagtial,Dharmapuri (SC), Gollapelli
TL,Jagtial,Dharmapuri (SC), Velgatoor
TL,Jagtial,Dharmapuri (SC), Buggaram
TL,Jagtial,Dharmapuri (SC), Dharmaram
TL,Jagtial,Dharmapuri (SC), Pegadapelli
TL,Jagtial,Koratla (Gen), Koratla Municipality
TL,Jagtial,Koratla (Gen), Metpally Municipality
TL,Jagtial,Koratla (Gen), Ibrahimpatnam
TL,Jagtial,Koratla (Gen), Mallapur
TL,Jagtial,Jagtial (Gen), Raikal Municipality
TL,Jagtial,Jagtial (Gen), Sarangapur
TL,Jagtial,Jagtial (Gen), Jagtial (Rural)
TL,Jagtial,Jagtial (Gen), Beerpur
TL,Jangaon,Jangaon (Gen), Komuravelly
TL,Jangaon,Jangaon (Gen), Bachannapet 
TL,Jangaon,Jangaon (Gen), Maddur 
TL,Jangaon,Jangaon (Gen), Jangaon
TL,Jangaon,Jangaon (Gen), Narmetta
TL,Jangaon,Jangaon (Gen), Tharigoppula
TL,Jangaon,Jangaon (Gen), Cherial
TL,Jangaon,Ghanpur (Stn) (SC), Station Ghanpur
TL,Jangaon,Ghanpur (Stn) (SC), Raghunathpally
TL,Jangaon,Ghanpur (Stn) (SC), Lingala Ghanpur
TL,Jangaon,Ghanpur (Stn) (SC), Chilpur
TL,Jangaon,Ghanpur (Stn) (SC), Jaferguda
TL,Jangaon,Ghanpur (Stn) (SC), Veleru
TL,Jangaon,Ghanpur (Stn) (SC), Dharmasagar
TL,Jangaon,Palakurthi (Gen), Devarapulla
TL,Jangaon,Palakurthi (Gen), Kodakondla
TL,Jangaon,Palakurthi (Gen), Palakurthy
TL,Jangaon,Palakurthi (Gen), Thorrur
TL,Jangaon,Palakurthi (Gen), Peddavangara
TL,Jangaon,Palakurthi (Gen), Rayaparthi
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Bhupalpalle (Rural)
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Mogullapalle
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Chityal
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Ghanpur
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Regonda
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Shayampet
TL,Jayashankar Bhupalpalle,Bhupalpalle (Gen), Tekumatla
TL,Jogulamba Gadwel,Gadwal (Gen), Gadwal 
TL,Jogulamba Gadwel,Gadwal (Gen), Maldakal 
TL,Jogulamba Gadwel,Gadwal (Gen), Ghattu 
TL,Jogulamba Gadwel,Gadwal (Gen), Dharur 
TL,Jogulamba Gadwel,Gadwal (Gen), KT Doddi
TL,Jogulamba Gadwel,Alampur (SC), Alampur 
TL,Jogulamba Gadwel,Alampur (SC), Ieeza 
TL,Jogulamba Gadwel,Alampur (SC), Itikyala 
TL,Jogulamba Gadwel,Alampur (SC), Waddepalli 
TL,Jogulamba Gadwel,Alampur (SC), Manaopad
TL,Jogulamba Gadwel,Alampur (SC), Rajoli
TL,Jogulamba Gadwel,Alampur (SC), Vundavalli
TL,Kamareddy,Jukkal (SC), Jukkal
TL,Kamareddy,Jukkal (SC), Madnur
TL,Kamareddy,Jukkal (SC), Bichkunda
TL,Kamareddy,Jukkal (SC), Pitlam
TL,Kamareddy,Jukkal (SC), Nizam Sagar
TL,Kamareddy,Jukkal (SC), Kodupgal
TL,Kamareddy,Yellareddy (Gen), Yellareddy
TL,Kamareddy,Yellareddy (Gen), Lingampet
TL,Kamareddy,Yellareddy (Gen), Tadwai
TL,Kamareddy,Yellareddy (Gen), Sadasivanagar
TL,Kamareddy,Yellareddy (Gen), Nagareddipet
TL,Kamareddy,Yellareddy (Gen), Gandhari
TL,Kamareddy,Yellareddy (Gen), Rama Reddy
TL,Kamareddy,Kamareddy (Gen), Kamareddy
TL,Kamareddy,Kamareddy (Gen), Machareddy
TL,Kamareddy,Kamareddy (Gen), Domakonda
TL,Kamareddy,Kamareddy (Gen), Bhikanoor
TL,Kamareddy,Kamareddy (Gen), Bibipet
TL,Kamareddy,Kamareddy (Gen), Rajampet 
TL,Karimnagar,Karimnagar (Gen), Karimnagar (Rural)
TL,Karimnagar,Karimnagar (Gen),  Kothapalli
TL,Karimnagar,Choppadandi (SC), Malliyal
TL,Karimnagar,Choppadandi (SC), Kodimyal
TL,Karimnagar,Choppadandi (SC), Choppadandi
TL,Karimnagar,Choppadandi (SC), Ramadugu
TL,Karimnagar,Choppadandi (SC), Gangadhara
TL,Karimnagar,Choppadandi (SC),  Bowenpally
TL,Karimnagar,Manakondur (Gen), Manakondur
TL,Karimnagar,Manakondur (Gen), Shakarapatnam
TL,Karimnagar,Manakondur (Gen), Thimmapur
TL,Karimnagar,Manakondur (Gen), Ganneruvaram
TL,Karimnagar,Manakondur (Gen), Bejjanki
TL,Karimnagar,Manakondur (Gen), Illanthakunta
TL,Karimnagar,Huzurabad (Gen), Huzurabad
TL,Karimnagar,Huzurabad (Gen), Jammikunta
TL,Karimnagar,Huzurabad (Gen), Veenavanka
TL,Karimnagar,Huzurabad (Gen), Ellanthakunta
TL,Karimnagar,Huzurabad (Gen), Kamalapur
TL,Khairatabad ,Nampally (Gen), Nampally
TL,Khairatabad ,Goshamahal (Gen),Goshamahal
TL,Khammam,Palair (Gen), Khammam Rural
TL,Khammam,Palair (Gen), Kasumanchi
TL,Khammam,Palair (Gen), Tirumalayapalem
TL,Khammam,Palair (Gen), Nelakondapalli
TL,Khammam,Madhira (SC), Madhira
TL,Khammam,Madhira (SC), Mudigonda
TL,Khammam,Madhira (SC), Chintakani
TL,Khammam,Madhira (SC), Bonakal
TL,Khammam,Madhira (SC), Yerrupalem
TL,Khammam,Wyra (ST), Wyra
TL,Khammam,Wyra (ST), Enkoor
TL,Khammam,Wyra (ST), Konijerla
TL,Khammam,Wyra (ST), Singareni - Karepalli
TL,Khammam,Sathupalle (SC), Sathupally
TL,Khammam,Sathupalle (SC), Penuballi
TL,Khammam,Sathupalle (SC), Kalluru
TL,Khammam,Sathupalle (SC), Thallada
TL,Khammam,Sathupalle (SC), Vemsoor
TL,Komaram Bheem Asifabad,Sirpur (Gen), Koutala
TL,Komaram Bheem Asifabad,Sirpur (Gen), Bejjur
TL,Komaram Bheem Asifabad,Sirpur (Gen), Kagaznagar
TL,Komaram Bheem Asifabad,Sirpur (Gen), Sirpur (T)
TL,Komaram Bheem Asifabad,Sirpur (Gen), Dahegaon
TL,Komaram Bheem Asifabad,Sirpur (Gen), Penchikalpet
TL,Komaram Bheem Asifabad,Sirpur (Gen), Chintalamanepally
TL,Komaram Bheem Asifabad,Asifabad (ST), Kerameri
TL,Komaram Bheem Asifabad,Asifabad (ST), Wankdi
TL,Komaram Bheem Asifabad,Asifabad (ST), Jainoor
TL,Komaram Bheem Asifabad,Asifabad (ST), Tiryani
TL,Komaram Bheem Asifabad,Asifabad (ST), Rebbena
TL,Komaram Bheem Asifabad,Asifabad (ST), Komaram Bheem
TL,Komaram Bheem Asifabad,Asifabad (ST), Sirpur (U)
TL,Komaram Bheem Asifabad,Asifabad (ST), Narnoor
TL,Mahabubabad,Dornakal (ST), Dornakal
TL,Mahabubabad,Dornakal (ST), Maripeda
TL,Mahabubabad,Dornakal (ST), Narsimhulapet
TL,Mahabubabad,Dornakal (ST), Kuravi
TL,Mahabubabad,Dornakal (ST), Chinna Gudur
TL,Mahabubabad,Dornakal (ST),  Danthalapalli
TL,Mahabubabad,Mahabubabad (ST), Mahabubabad (Rural)
TL,Mahabubabad,Mahabubabad (ST), Nellikudur
TL,Mahabubabad,Mahabubabad (ST), Kesamudram
TL,Mahabubabad,Mahabubabad (ST), Gudur
TL,Mahabubnagar,Mahabubnagar (Gen), Mahabubnagar (Rural)
TL,Mahabubnagar,Mahabubnagar (Gen), Mahabubnagar (Urban)
TL,Mahabubnagar,Mahabubnagar (Gen), Hanwada
TL,Mahabubnagar,Jadcherla (Gen), Jadcherla 
TL,Mahabubnagar,Jadcherla (Gen), Nawabpet 
TL,Mahabubnagar,Jadcherla (Gen), Balanagar 
TL,Mahabubnagar,Jadcherla (Gen), Rajapur 
TL,Mahabubnagar,Jadcherla (Gen), Udithyala
TL,Mahabubnagar,Jadcherla (Gen), Midjil
TL,Mahabubnagar,Jadcherla (Gen), Urukonda
TL,Mahabubnagar,Devarakadra (Gen), Devarakadra 
TL,Mahabubnagar,Devarakadra (Gen), Bhoothpur
TL,Mahabubnagar,Devarakadra (Gen),  Addakal 
TL,Mahabubnagar,Devarakadra (Gen), CC Kunta 
TL,Mahabubnagar,Devarakadra (Gen), Kothakota
TL,Mahabubnagar,Devarakadra (Gen), Madhanapuram 
TL,Mahabubnagar,Devarakadra (Gen), Moospet
TL,Mahabubnagar,Makthal (Gen), Makthal 
TL,Mahabubnagar,Makthal (Gen), Maganur 
TL,Mahabubnagar,Makthal (Gen), Atmakur 
TL,Mahabubnagar,Makthal (Gen), Narva 
TL,Mahabubnagar,Makthal (Gen), Utkoor 
TL,Mahabubnagar,Makthal (Gen), Krishna
TL,Mahabubnagar,Makthal (Gen), Amarchinta
TL,Mancherial,Chennur (SC), Chennur
TL,Mancherial,Chennur (SC), Mandamarri
TL,Mancherial,Chennur (SC), Kothapalli
TL,Mancherial,Chennur (SC), Jaipur
TL,Mancherial,Chennur (SC), Bheemaram
TL,Mancherial,Bellampalli (SC), Bellampalli Rural
TL,Mancherial,Bellampalli (SC), Bheemini
TL,Mancherial,Bellampalli (SC), Kasipet
TL,Mancherial,Bellampalli (SC), Nennal
TL,Mancherial,Bellampalli (SC), Vemanpalle
TL,Mancherial,Bellampalli (SC), Tandur
TL,Mancherial,Bellampalli (SC), Kannepalli
TL,Mancherial,Mancherial (Gen), Dandepally
TL,Mancherial,Mancherial (Gen), Hajipur
TL,Mancherial,Mancherial (Gen), Luxettipet (Rural)
TL,Mancherial,Mancherial (Gen), Naspur
TL,Mancherial,Mancherial (Gen), Mancherial
TL,Medak,Medak (Gen),  Medak 
TL,Medak,Medak (Gen), Papannapet 
TL,Medak,Medak (Gen), Ramayampet 
TL,Medak,Medak (Gen), Shankarampet-A
TL,Medak,Medak (Gen), H Ghanpur
TL,Medak,Medak (Gen), Nizampet 
TL,Medak,Medak (Gen), Shankarampet (Rural)
TL,Medak,Narsapur (Gen), Narsapur 
TL,Medak,Narsapur (Gen), Kulcharam 
TL,Medak,Narsapur (Gen), Yeldurthy 
TL,Medak,Narsapur (Gen), Shivampet
TL,Medak,Narsapur (Gen), Kowdipalle 
TL,Medak,Narsapur (Gen), Hathnoora 
TL,Medak,Narsapur (Gen), Chelipched
TL,Medak,Narsapur (Gen), Manoharabad
TL,Medchal Malkajgiri,Medchal (Gen), Medchal 
TL,Medchal Malkajgiri,Medchal (Gen), Ghatkesar
TL,Medchal Malkajgiri,Medchal (Gen), Keesara
TL,Medchal Malkajgiri,Medchal (Gen), Shamirpet 
TL,Medchal Malkajgiri,Medchal (Gen), Munchinthalapally 
TL,Medchal Malkajgiri,Medchal (Gen), Medipalli
TL,Medchal Malkajgiri,Quthbullapur (Gen), Qutbullar
TL,Medchal Malkajgiri,Quthbullapur (Gen), Gandi Maisamma Dindigal
TL,Medchal Malkajgiri,Quthbullapur (Gen), Bachupalli
TL,Medchal Malkajgiri,Quthbullapur (Gen), Nizampet
TL,Mulugu,Mulug (ST), Mulugu
TL,Mulugu,Mulug (ST), Venkatapur
TL,Mulugu,Mulug (ST), Govindaraopet
TL,Mulugu,Mulug (ST), Tadwai
TL,Mulugu,Mulug (ST), Etunagaram
TL,Mulugu,Mulug (ST), Mangapet
TL,Mulugu,Mulug (ST), Kannaigudem
TL,Mulugu,Mulug (ST), Wazeedu
TL,Mulugu,Mulug (ST),  Nuguru
TL,Mulugu,Mulug (ST), Kothaguda
TL,Mulugu,Mulug (ST), Gangaram
TL,Nagarkurnool,Nagarkurnool (Gen), Nagarkurnool 
TL,Nagarkurnool,Nagarkurnool (Gen), Bijinepalli 
TL,Nagarkurnool,Nagarkurnool (Gen), Tadoor 
TL,Nagarkurnool,Nagarkurnool (Gen), Telkapally 
TL,Nagarkurnool,Nagarkurnool (Gen), Thimmajipet
TL,Nagarkurnool,Achampet (SC), Vangoor 
TL,Nagarkurnool,Achampet (SC), Uppunuthala 
TL,Nagarkurnool,Achampet (SC), Balmoor 
TL,Nagarkurnool,Achampet (SC), Charagonda 
TL,Nagarkurnool,Achampet (SC), Achampet
TL,Nagarkurnool,Achampet (SC), Amarabad 
TL,Nagarkurnool,Achampet (SC), Lingala 
TL,Nagarkurnool,Achampet (SC), Padara
TL,Nagarkurnool,Kollapur (Gen), Kollapur 
TL,Nagarkurnool,Kollapur (Gen), Pentavelly 
TL,Nagarkurnool,Kollapur (Gen), Peddakonthapally 
TL,Nagarkurnool,Kollapur (Gen), Kodair
TL,Nagarkurnool,Kollapur (Gen), Chinnambavi 
TL,Nagarkurnool,Kollapur (Gen), Veepangandla
TL,Nagarkurnool,Kollapur (Gen), Pangal
TL,Nalgonda,Devarakonda (ST), Devarkonda Rural
TL,Nalgonda,Devarakonda (ST), Chinthapalli
TL,Nalgonda,Devarakonda (ST), Dindi
TL,Nalgonda,Devarakonda (ST), Pedda Adisarla Palli
TL,Nalgonda,Devarakonda (ST), Neredugommu
TL,Nalgonda,Devarakonda (ST), Kondamallepally
TL,Nalgonda,Devarakonda (ST), Chandhampet
TL,Nalgonda,NagarjunaSagar  (Gen), Nidamanoor
TL,Nalgonda,NagarjunaSagar  (Gen), Gurrampode
TL,Nalgonda,NagarjunaSagar  (Gen), Peddavoora
TL,Nalgonda,NagarjunaSagar  (Gen), Anumula
TL,Nalgonda,NagarjunaSagar  (Gen), Tripuraram
TL,Nalgonda,NagarjunaSagar  (Gen), Tirumalagiri Sagar
TL,Nalgonda,Miryalaguda (Gen), Miryalaguda Rural
TL,Nalgonda,Miryalaguda (Gen), Vemulapally
TL,Nalgonda,Miryalaguda (Gen), Madgulapally
TL,Nalgonda,Miryalaguda (Gen), Dameracherla
TL,Nalgonda,Miryalaguda (Gen), Adavidevulapally
TL,Nalgonda,Nalgonda (Gen), Nalgonda 
TL,Nalgonda,Nalgonda (Gen), Thipparthy
TL,Nalgonda,Nalgonda (Gen), Kanagal
TL,Nalgonda,Munugode (Gen), Munugode 
TL,Nalgonda,Munugode (Gen), Chandur 
TL,Nalgonda,Munugode (Gen), Nampalli 
TL,Nalgonda,Munugode (Gen), Marrigudem 
TL,Nalgonda,Munugode (Gen), Choutuppal
TL,Nalgonda,Munugode (Gen), Narayanpur
TL,Nalgonda,Nakrekal (Gen), Nakrekal 
TL,Nalgonda,Nakrekal (Gen), Kethepally 
TL,Nalgonda,Nakrekal (Gen), Kattangoor 
TL,Nalgonda,Nakrekal (Gen), Ramannapet 
TL,Nalgonda,Nakrekal (Gen), Chityal
TL,Nalgonda,Nakrekal (Gen), Narketpally
TL,Narayanpet,Narayanpet (Gen), Narayanpet 
TL,Narayanpet,Narayanpet (Gen), Koilkonda 
TL,Narayanpet,Narayanpet (Gen), Damaragidda 
TL,Narayanpet,Narayanpet (Gen), Dhanwada 
TL,Narayanpet,Narayanpet (Gen), Marikal
TL,Nirmal,Khanapur (ST), Indravelly
TL,Nirmal,Khanapur (ST), Utnoor
TL,Nirmal,Khanapur (ST), Khanapur
TL,Nirmal,Khanapur (ST), Jannaram
TL,Nirmal,Khanapur (ST), Dasturabad
TL,Nirmal,Khanapur (ST), Pembi
TL,Nirmal,Khanapur (ST), Kaddam
TL,Nirmal,Nirmal (Gen), Nirmal
TL,Nirmal,Nirmal (Gen), Dilawarpur
TL,Nirmal,Nirmal (Gen), Laxmanchanda
TL,Nirmal,Nirmal (Gen), Mamada
TL,Nirmal,Nirmal (Gen), Sarangapur
TL,Nirmal,Nirmal (Gen), Narsapur
TL,Nirmal,Nirmal (Gen), Soan
TL,Nirmal,Nirmal (Gen), Nirmal Rural
TL,Nirmal,Mudhole (Gen), Mudhole
TL,Nirmal,Mudhole (Gen), Kuntala
TL,Nirmal,Mudhole (Gen), Kubeer
TL,Nirmal,Mudhole (Gen), Bhainsa
TL,Nirmal,Mudhole (Gen), Lokeswaram
TL,Nirmal,Mudhole (Gen), Tanoor
TL,Nirmal,Mudhole (Gen), Basar
TL,Nizamabad,Armoor (Gen), Armoor
TL,Nizamabad,Armoor (Gen), Nandipet
TL,Nizamabad,Armoor (Gen), Makloor
TL,Nizamabad,Bodhan (Gen), Yedapally
TL,Nizamabad,Bodhan (Gen), Bodhan
TL,Nizamabad,Bodhan (Gen), Renjal
TL,Nizamabad,Bodhan (Gen), Navipet
TL,Nizamabad,Bodhan (Gen), Mupkal
TL,Nizamabad,Nizamabad (U) (Gen), Nizamabad (Rural)
TL,Nizamabad,Nizamabad (U) (Gen), Nizamabad (North)
TL,Nizamabad,Nizamabad (U) (Gen), Nizamabad (South) 
TL,Nizamabad,Nizamabad (R) (Gen), Sirikonda
TL,Nizamabad,Nizamabad (R) (Gen), Dichpally
TL,Nizamabad,Nizamabad (R) (Gen), Indalvai
TL,Nizamabad,Nizamabad (R) (Gen), Dharpally
TL,Nizamabad,Nizamabad (R) (Gen), Jakranpally
TL,Nizamabad,Nizamabad (R) (Gen), Mopal
TL,Nizamabad,Balkonda (Gen), Bheemgal
TL,Nizamabad,Balkonda (Gen), Yergatla
TL,Nizamabad,Balkonda (Gen), Morthad
TL,Nizamabad,Balkonda (Gen), Mendora
TL,Nizamabad,Balkonda (Gen), Balkonda
TL,Nizamabad,Balkonda (Gen), Velpur
TL,Nizamabad,Balkonda (Gen), Kammarpalli
TL,Kamareddy,Banswada (Gen), Kotagiri
TL,Kamareddy,Banswada (Gen), Rudrur
TL,Kamareddy,Banswada (Gen), Varni
TL,Kamareddy,Banswada (Gen), Chandoor
TL,Kamareddy,Banswada (Gen), Mosra
TL,Kamareddy,Banswada (Gen), Birkur
TL,Kamareddy,Banswada (Gen), Nasurlabad
TL,Kamareddy,Banswada (Gen), Banswada
TL,Peddapalli ,Manthani (Gen), Mahadevpur
TL,Peddapalli ,Manthani (Gen), Kataram
TL,Peddapalli ,Manthani (Gen), Mutharam
TL,Peddapalli ,Manthani (Gen), Malhar Rao
TL,Peddapalli ,Manthani (Gen), Palimela
TL,Peddapalli ,Ramagundam (Gen), Palakurthy – D
TL,Peddapalli ,Ramagundam (Gen), Anthargaon
TL,Peddapalli ,Manthani (Gen), Manthani
TL,Peddapalli ,Manthani (Gen), Kamanpur 
TL,Peddapalli ,Manthani (Gen), Ramagiri
TL,Peddapalli ,Manthani (Gen), Manthani Mutharam
TL,Peddapalli ,Peddapalle (Gen), Pedapalle
TL,Peddapalli ,Peddapalle (Gen), Julapalle
TL,Peddapalli ,Peddapalle (Gen), Eligedu
TL,Peddapalli ,Peddapalle (Gen), Sultanabad
TL,Peddapalli ,Peddapalle (Gen), Odela
TL,Peddapalli ,Peddapalle (Gen), Kalva Srirampur
TL,Peddapalli ,Peddapalle (Gen), Dharmaram
TL,Rajanna Sircilla,Vemulawada (Gen), Medipelli
TL,Rajanna Sircilla,Vemulawada (Gen), Kathalapur
TL,Rajanna Sircilla,Vemulawada (Gen), Konaraopet
TL,Rajanna Sircilla,Vemulawada (Gen), Chandurthi
TL,Rajanna Sircilla,Sircilla (Gen), Sircilla
TL,Rajanna Sircilla,Sircilla (Gen), Yellareddipet
TL,Rajanna Sircilla,Sircilla (Gen), Gambhiraopet
TL,Rajanna Sircilla,Sircilla (Gen), Mustabad
TL,Rajanna Sircilla,Sircilla (Gen), Thangalapalli
TL,Rajanna Sircilla,Sircilla (Gen), Veernapalli
TL,Ranga Reddy,L.B.Nagar (Gen), Saroornagar
TL,Ranga Reddy,Maheswaram (Gen),  Maheswaram 
TL,Ranga Reddy,Maheswaram (Gen),  Kandukur
TL,Ranga Reddy,Maheswaram (Gen), Balapur 
TL,Ranga Reddy,Rajendranagar (Gen), Shamshabad
TL,Ranga Reddy,Rajendranagar (Gen), Rajendrangar
TL,Ranga Reddy,Rajendranagar (Gen), Gandipet
TL,Ranga Reddy,Rajendranagar (Gen), Bandlaguda
TL,Ranga Reddy,Chevella (SC), Chevella 
TL,Ranga Reddy,Chevella (SC), Moinabad 
TL,Ranga Reddy,Chevella (SC), Shabad 
TL,Ranga Reddy,Chevella (SC), Shakarpally 
TL,Ranga Reddy,Chevella (SC), Nawabpet
TL,Ranga Reddy,Shadnagar (Gen), Keshampet 
TL,Ranga Reddy,Shadnagar (Gen), Kondrug 
TL,Ranga Reddy,Shadnagar (Gen), Kothur 
TL,Ranga Reddy,Shadnagar (Gen), Nandigama 
TL,Ranga Reddy,Shadnagar (Gen), Chowdarguda
TL,Ranga Reddy,Shadnagar (Gen), Farooq Nagar
TL,Ranga Reddy,Shadnagar (Gen), Shadnagar
TL,Ranga Reddy,Kalwakurthy (Gen), Kalwakurthy 
TL,Ranga Reddy,Kalwakurthy (Gen), Veldanda 
TL,Ranga Reddy,Kalwakurthy (Gen), Madugula 
TL,Ranga Reddy,Kalwakurthy (Gen), Kadthal
TL,Ranga Reddy,Kalwakurthy (Gen), Amangal 
TL,Ranga Reddy,Kalwakurthy (Gen), Talakondapally
TL,Ranga Reddy,Ibrahimpatnam (Gen), Abdullapurmet 
TL,Ranga Reddy,Ibrahimpatnam (Gen), Manchal 
TL,Ranga Reddy,Ibrahimpatnam (Gen), Yacharam 
TL,Ranga Reddy,Ibrahimpatnam (Gen), Ibrahimpatnam
TL,Ranga Reddy,Ibrahimpatnam (Gen), Hayathnagar
TL,Sangareddy,Narayankhed (Gen), Narayankhed
TL,Sangareddy,Narayankhed (Gen), Manur
TL,Sangareddy,Narayankhed (Gen), Nagalagidda
TL,Sangareddy,Narayankhed (Gen), Kangti
TL,Sangareddy,Narayankhed (Gen), Sirgapur
TL,Sangareddy,Narayankhed (Gen),  Kalher
TL,Sangareddy,Narayankhed (Gen), Shankarampet-A
TL,Sangareddy,Narayankhed (Gen), Vatpalli
TL,Sangareddy,Andole (Gen), Andhole
TL,Sangareddy,Andole (Gen), Pulkal
TL,Sangareddy,Andole (Gen), Munipally
TL,Sangareddy,Andole (Gen), Raikode
TL,Sangareddy,Andole (Gen), Tekmal
TL,Sangareddy,Andole (Gen), Alladhurgh
TL,Sangareddy,Andole (Gen), Reghodu
TL,Sangareddy,Zahirabad (Gen), Kohir
TL,Sangareddy,Zahirabad (Gen), Zarasangam
TL,Sangareddy,Zahirabad (Gen), Nyalkal
TL,Sangareddy,Zahirabad (Gen), Mogudampally
TL,Sangareddy,Zahirabad (Gen), Zaheerabad
TL,Sangareddy,Sangareddy (Gen), Sangareddy 
TL,Sangareddy,Sangareddy (Gen), Kondapur 
TL,Sangareddy,Sangareddy (Gen), Sadasivapet 
TL,Sangareddy,Sangareddy (Gen), Kandi
TL,Sangareddy,Patancheru (Gen), Patancheru 
TL,Sangareddy,Patancheru (Gen), Ameenpur 
TL,Sangareddy,Patancheru (Gen), Jinnaram 
TL,Sangareddy,Patancheru (Gen), Gummadidala
TL,Sangareddy,Patancheru (Gen),Ramachandrapuram 
TL,Secundarabad ,Secunderabad Cantt. (SC), Trimulgherry
TL,Secundarabad ,Secunderabad (Gen), Secunderabad
TL,Secundarabad ,Secunderabad (Gen), Marredpally
TL,Secundarabad ,Jubilee Hills (Gen), Shaikpet
TL,Siddipet,Husnabad (Gen), Husnabad
TL,Siddipet,Husnabad (Gen), Akkannapet
TL,Siddipet,Husnabad (Gen), Koheda
TL,Siddipet,Husnabad (Gen), Saidapur
TL,Siddipet,Husnabad (Gen), Chigurumamidi
TL,Siddipet,Husnabad (Gen), Elkaturthy
TL,Siddipet,Husnabad (Gen), Bheemadevarapally
TL,Siddipet,Siddipet (Gen), Siddipet (Urban)
TL,Siddipet,Siddipet (Gen), Siddipet (Rural)
TL,Siddipet,Siddipet (Gen), Chinna Kodur 
TL,Siddipet,Siddipet (Gen), Nanganur 
TL,Siddipet,Siddipet (Gen), Narayanraopet
TL,Siddipet,Dubbak (Gen), Dubbak 
TL,Siddipet,Dubbak (Gen), Doultabad
TL,Siddipet,Dubbak (Gen), Chegunta 
TL,Siddipet,Dubbak (Gen), Mirdoddi 
TL,Siddipet,Dubbak (Gen), Thoguta
TL,Siddipet,Dubbak (Gen), Raipol 
TL,Siddipet,Dubbak (Gen), Narsingi
TL,Siddipet,Gajwel (Gen), Gajwel 
TL,Siddipet,Gajwel (Gen), Toopran 
TL,Siddipet,Gajwel (Gen), Kondapaka 
TL,Siddipet,Gajwel (Gen), Wargal 
TL,Siddipet,Gajwel (Gen), Mulugu
TL,Siddipet,Gajwel (Gen), Jagdevpur 
TL,Siddipet,Gajwel (Gen), Markoor
TL,Suryapet,Huzurnagar (Gen), Huzurnagar 
TL,Suryapet,Huzurnagar (Gen), Mattampalli
TL,Suryapet,Huzurnagar (Gen), Mellacheruvu
TL,Suryapet,Huzurnagar (Gen), Neruducherla 
TL,Suryapet,Huzurnagar (Gen), Garidepalli
TL,Suryapet,Huzurnagar (Gen), Palaveedu
TL,Suryapet,Huzurnagar (Gen), Chinthalapalem 
